source,target,date,site,MOV,value,,school,wins,loses,Tourney Rank,CBS Rank,My Rank (Out of 64),Rank Delta,Offense Score,Defense Score,MOV,Offense Adjust,Defense Adjust,MOV Adjusted,RPI,CBS SOS,My SOS,Team Value,,,,,,,,,,,,,,,
Iowa State,Gonzaga,Nov. 27,Neutral,2,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Kansas,Feb. 4,Away,3,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Kansas,Jan. 16,Home,4,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Kansas State,Feb. 15,Away,8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Kansas State,Jan. 24,Home,5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Miami (Fla.),Nov. 25,Neutral,17,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Mount St. Mary's,Nov. 14,Home,18,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Oklahoma State,Feb. 28,Home,3,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Oklahoma State,Jan. 11,Away,10,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Oklahoma State,Mar. 9,Neutral,9,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Vanderbilt,Jan. 28,Away,6,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,West Virginia,Jan. 31,Home,13,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,West Virginia,Mar. 11,Neutral,6,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,West Virginia,Mar. 3,Away,11,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville State,Maryland,Dec. 12,Away,26,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Baylor,Feb. 1,Home,5,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Baylor,Feb. 18,Away,2,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Duke,Nov. 15,Neutral,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Iowa State,Feb. 4,Home,3,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
